序号,基金代码,基金简称,日期,单位净值,累计净值,日增长率,近1周,近1月,近3月,近6月,近1年,近2年,近3年,今年来,成立来,自定义,手续费
164,017828,富国时代精选混合A,2026-04-27,2.5697,2.5697,1.1,4.31,25.09,29.44,36.75,163.4,183.82,158.42,35.56,156.97,161.4406,0.15%
165,519087,新华优选分红混合A,2026-04-27,1.2317,5.4112,0.48,1.13,20.74,21.46,47.8,163.17,189.34,96.16,42.0,1775.04,162.9854,0.12%
166,014727,易方达成长动力混合A,2026-04-27,2.8983,2.8983,0.68,3.43,19.86,20.53,24.18,162.77,213.36,203.84,22.15,189.83,163.1708,0.15%
167,017462,长城久祥混合C,2026-04-27,2.3908,2.3908,0.29,0.98,28.58,42.8,48.53,162.01,153.85,113.79,47.36,164.64,161.6327,0.00%
168,017829,富国时代精选混合C,2026-04-27,2.5213,2.5213,1.09,4.29,25.03,29.23,36.26,161.68,180.3,153.65,35.22,152.13,159.7136,0.00%
169,014728,易方达成长动力混合C,2026-04-27,2.8378,2.8378,0.68,3.42,19.81,20.38,23.88,161.45,210.24,199.28,21.96,183.78,161.8621,0.00%
170,005914,景顺长城智能生活混合A,2026-04-27,4.7816,4.7816,1.91,2.02,25.76,20.32,33.81,160.98,222.71,167.02,28.59,378.16,159.2637,0.15%
171,005482,博时创新驱动混合A,2026-04-27,1.6195,1.6195,0.82,3.67,21.88,23.55,30.79,160.92,135.15,69.12,32.06,61.95,161.5049,0.15%
172,023265,景顺长城智能生活混合C,2026-04-27,4.7455,4.7455,1.91,2.01,25.7,20.11,33.39,159.39,,,28.32,131.65,157.6975,0.00%
173,519935,长信创新驱动股票,2026-04-27,3.043,3.043,1.26,2.11,18.08,18.36,31.67,159.2,224.76,96.83,27.38,204.3,160.0855,0.15%
174,610006,信澳产业升级混合A,2026-04-27,3.367,3.837,-0.03,-1.61,22.84,24.8,42.49,159.0,143.99,62.42,28.91,381.22,159.1994,0.15%
175,005483,博时创新驱动混合C,2026-04-27,1.5153,1.5153,0.81,3.66,21.8,23.32,30.28,158.8,131.41,65.12,31.73,51.53,159.4248,0.00%
176,021382,博时科技驱动混合A,2026-04-27,2.7156,2.7156,0.86,3.21,28.76,23.94,37.32,158.46,,,37.46,171.56,157.5982,0.15%
177,009891,融通产业趋势臻选股票A,2026-04-27,2.9774,2.9774,0.32,3.91,33.43,29.82,43.15,158.41,221.29,197.0,34.77,197.74,158.1859,0.15%
178,012696,同泰数字经济股票A,2026-04-27,1.5517,1.5517,2.82,5.66,23.71,13.0,24.81,157.89,191.62,123.43,31.0,55.17,157.8003,0.15%
179,016873,广发远见智选混合A,2026-04-27,1.9141,1.9141,-0.13,2.19,24.33,38.7,83.55,157.62,178.66,107.9,93.09,91.41,157.6871,0.15%
180,021383,博时科技驱动混合C,2026-04-27,2.6846,2.6846,0.86,3.2,28.69,23.75,36.91,156.9,,,37.19,168.46,156.0664,0.00%
181,018495,融通产业趋势臻选股票C,2026-04-27,2.8898,2.8898,0.32,3.89,33.36,29.64,42.73,156.89,213.63,,34.52,174.51,156.6886,0.00%
182,012697,同泰数字经济股票C,2026-04-27,1.5225,1.5225,2.82,5.66,23.67,12.89,24.57,156.88,189.28,120.78,30.83,52.25,156.7887,0.00%
183,009892,富国成长策略混合A,2026-04-27,2.359,2.359,0.87,3.78,23.92,28.94,34.77,156.64,164.46,141.11,34.62,135.9,154.0383,0.15%
184,016874,广发远见智选混合C,2026-04-27,1.8821,1.8821,-0.14,2.18,24.28,38.53,83.12,156.38,175.97,104.87,92.8,88.21,156.4868,0.00%
185,016664,天弘全球高端制造混合(QDII)A,2026-04-24,2.7312,2.7312,0.62,4.76,25.53,34.48,55.14,155.28,144.05,,46.77,173.12,,0.15%
186,290014,泰信现代服务业混合,2026-04-27,2.985,3.045,0.98,5.29,13.5,24.95,66.48,155.13,135.04,33.92,32.26,213.05,157.772,0.15%
187,016665,天弘全球高端制造混合(QDII)C,2026-04-24,2.7068,2.7068,0.62,4.76,25.5,34.37,54.89,154.42,142.72,,46.61,170.68,,0.00%
188,014600,博时回报严选混合A,2026-04-27,2.0035,2.0035,2.06,3.55,25.6,17.76,26.66,153.9,187.82,111.45,26.54,100.35,155.6789,0.15%
189,013469,泰信低碳经济混合发起式A,2026-04-27,1.5045,1.5045,0.47,2.9,33.31,34.98,45.63,153.71,179.39,127.78,41.92,50.45,154.6978,0.15%
190,501082,博时科创主题灵活配置混合(LOF)A,2026-04-27,3.7446,3.7446,1.03,3.18,28.71,22.38,35.2,153.63,162.89,106.99,35.86,274.46,152.7232,0.12%
191,009217,博时荣丰回报灵活配置混合A,2026-04-27,1.9271,1.9271,0.92,2.28,27.0,21.41,32.12,153.47,157.19,95.21,34.41,92.71,152.0073,0.12%
192,016772,诺德兴新趋势混合A,2026-04-27,1.6721,1.6721,1.12,3.33,25.18,28.59,40.07,153.0,100.18,79.53,32.5,67.21,154.0413,0.15%
193,014601,博时回报严选混合C,2026-04-27,1.962,1.962,2.07,3.55,25.54,17.62,26.35,152.64,185.01,108.32,26.34,96.2,154.4417,0.00%
194,015491,博时科创主题灵活配置混合(LOF)C,2026-04-27,3.6858,3.6858,1.03,3.17,28.66,22.26,34.94,152.63,160.83,104.48,35.69,86.06,151.7451,0.00%
195,013470,泰信低碳经济混合发起式C,2026-04-27,1.4719,1.4719,0.46,2.89,33.25,34.81,45.27,152.43,176.72,124.51,41.69,47.19,153.4263,0.00%
196,009218,博时荣丰回报灵活配置混合C,2026-04-27,1.8706,1.8706,0.92,2.27,26.95,21.25,31.79,152.14,154.64,92.31,34.19,87.06,150.7171,0.00%
197,020440,东兴数字经济混合发起A,2026-04-27,2.1654,2.1654,0.27,2.09,25.8,24.01,31.91,152.14,95.52,,31.18,116.54,154.0357,0.15%
198,020441,东兴数字经济混合发起C,2026-04-27,2.1604,2.1604,0.26,2.09,25.79,23.98,31.84,151.88,95.12,,31.13,116.04,153.7766,0.00%
199,016773,诺德兴新趋势混合C,2026-04-27,1.6387,1.6387,1.12,3.32,25.11,28.4,39.65,151.49,97.79,76.32,32.24,63.87,152.5351,0.00%
200,014036,博时成长回报混合A,2026-04-27,1.7853,1.7853,1.86,2.86,27.36,23.25,35.8,150.89,179.96,110.95,36.89,78.53,152.3392,0.15%
