code,annual_return,annual_vol,sharpe,max_drawdown,year_return,data_points
021279,50.78,34.88,1.4,19.25,76.32,450
021284,41.15,28.03,1.4,18.44,70.66,368
023323,40.07,27.29,1.39,12.69,19.15,130
023324,39.57,27.29,1.38,12.73,18.93,130
021285,40.55,28.02,1.38,18.48,69.97,368
025413,19.97,13.11,1.37,6.68,11.63,151
018840,6.14,3.47,1.19,4.04,7.76,534
017824,32.23,25.56,1.18,18.7,85.38,589
021461,29.92,23.91,1.17,19.89,80.05,478
017825,31.55,25.55,1.16,18.87,84.45,589
020104,24.13,19.86,1.11,18.96,57.89,552
020105,23.75,19.86,1.09,19.08,57.42,552
021855,25.1,21.31,1.08,15.94,55.58,341
021822,23.67,20.27,1.07,18.87,48.95,420
021856,24.81,21.31,1.07,16.03,55.27,341
018841,5.7,3.48,1.06,4.1,7.32,534
519770,17.45,14.58,1.06,16.51,227.71,2393
021823,23.41,20.27,1.06,18.96,48.65,420
018595,8.76,6.38,1.06,4.41,15.42,604
519771,17.42,14.59,1.06,16.53,227.05,2393
023702,19.86,17.56,1.02,13.23,31.22,271
021883,7.99,5.89,1.02,4.67,12.83,429
018596,8.41,6.38,1.0,4.46,15.08,604
