date,nav,daily_return
2024-11-07,1.428,0.0
2024-11-08,1.4276,-0.0003
2024-11-11,1.4707,0.0302
2024-11-12,1.4521,-0.0126
2024-11-13,1.4514,-0.0005
2024-11-14,1.4216,-0.020499999999999997
2024-11-15,1.3984,-0.0163
2024-11-18,1.3754,-0.016399999999999998
2024-11-19,1.3976,0.0161
2024-11-20,1.4126,0.010700000000000001
2024-11-21,1.4134,0.0006
2024-11-22,1.3898,-0.0167
2024-11-25,1.387,-0.002
2024-11-26,1.3794,-0.0055000000000000005
2024-11-27,1.4042,0.018000000000000002
2024-11-28,1.4018,-0.0017000000000000001
2024-11-29,1.4202,0.0131
2024-12-02,1.4344,0.01
2024-12-03,1.428,-0.0045000000000000005
2024-12-04,1.4144,-0.0095
2024-12-05,1.425,0.0075
2024-12-06,1.4403,0.010700000000000001
2024-12-09,1.431,-0.006500000000000001
2024-12-10,1.4449,0.0097
2024-12-11,1.4506,0.0039000000000000003
2024-12-12,1.4584,0.0054
2024-12-13,1.4358,-0.0155
2024-12-16,1.4128,-0.016
2024-12-17,1.4012,-0.008199999999999999
2024-12-18,1.4123,0.0079
2024-12-19,1.414,0.0012
2024-12-20,1.4269,0.0091
2024-12-23,1.4239,-0.0021
2024-12-24,1.4331,0.006500000000000001
2024-12-25,1.4213,-0.008199999999999999
2024-12-26,1.4357,0.0101
2024-12-27,1.4329,-0.002
2024-12-30,1.4264,-0.0045000000000000005
2024-12-31,1.399,-0.0192
2025-01-02,1.3789,-0.0144
2025-01-03,1.3681,-0.0078000000000000005
2025-01-06,1.3667,-0.001
2025-01-07,1.3944,0.0203
2025-01-08,1.3948,0.0003
2025-01-09,1.4016,0.0049
2025-01-10,1.3939,-0.0055000000000000005
2025-01-13,1.3941,0.0001
2025-01-14,1.4368,0.030600000000000002
2025-01-15,1.4329,-0.0027
2025-01-16,1.4305,-0.0017000000000000001
2025-01-17,1.4387,0.005699999999999999
2025-01-20,1.4523,0.0095
