date,nav,daily_return
2024-03-12,1.0,0.0
2024-03-15,1.0066,0.0
2024-03-20,1.0047,0.0
2024-03-21,1.0013,-0.0034000000000000002
2024-03-22,1.004,0.0027
2024-03-25,0.9748,-0.0291
2024-03-26,0.9496,-0.0259
2024-03-27,0.9067,-0.0452
2024-03-28,0.9291,0.024700000000000003
2024-03-29,0.9219,-0.0077
2024-04-01,0.9442,0.0242
2024-04-02,0.9291,-0.016
2024-04-03,0.9001,-0.031200000000000002
2024-04-08,0.8906,-0.0106
2024-04-09,0.8887,-0.0021
2024-04-10,0.8711,-0.019799999999999998
2024-04-11,0.8768,0.006500000000000001
2024-04-12,0.8835,0.0076
2024-04-15,0.8834,-0.0001
2024-04-16,0.8587,-0.027999999999999997
2024-04-17,0.8927,0.039599999999999996
2024-04-18,0.8876,-0.005699999999999999
2024-04-19,0.8715,-0.0181
2024-04-22,0.8578,-0.015700000000000002
2024-04-23,0.8552,-0.003
2024-04-24,0.8832,0.0327
2024-04-25,0.8709,-0.0139
2024-04-26,0.9059,0.04019999999999999
2024-04-29,0.9235,0.0194
2024-04-30,0.9268,0.0036
2024-05-06,0.9334,0.0070999999999999995
2024-05-07,0.9249,-0.0091
2024-05-08,0.9163,-0.009300000000000001
2024-05-09,0.927,0.011699999999999999
2024-05-10,0.9106,-0.0177
2024-05-13,0.9006,-0.011000000000000001
2024-05-14,0.8932,-0.008199999999999999
2024-05-15,0.8881,-0.005699999999999999
2024-05-16,0.8937,0.0063
2024-05-17,0.8994,0.0064
2024-05-20,0.9125,0.0146
2024-05-21,0.9068,-0.0062
2024-05-22,0.9046,-0.0024
2024-05-23,0.8955,-0.0101
2024-05-24,0.8735,-0.0246
2024-05-27,0.8852,0.0134
2024-05-28,0.8651,-0.0227
2024-05-29,0.8623,-0.0032
2024-05-30,0.8583,-0.0046
2024-05-31,0.8576,-0.0008
2024-06-03,0.8712,0.0159
2024-06-04,0.8713,0.0001
2024-06-05,0.8559,-0.0177
2024-06-06,0.8591,0.0037
2024-06-07,0.8416,-0.0204
