date,nav,daily_return
2022-01-26,1.9915,0.0
2022-01-27,1.9265,-0.0326
2022-01-28,1.9075,-0.009899999999999999
2022-02-07,1.9003,-0.0038
2022-02-08,1.8454,-0.028900000000000002
2022-02-09,1.8527,0.004
2022-02-10,1.8009,-0.027999999999999997
2022-02-11,1.7524,-0.0269
2022-02-14,1.7463,-0.0034999999999999996
2022-02-15,1.797,0.028999999999999998
2022-02-16,1.7967,-0.0002
2022-02-17,1.807,0.005699999999999999
2022-02-18,1.8025,-0.0025
2022-02-21,1.8147,0.0068000000000000005
2022-02-22,1.7906,-0.013300000000000001
2022-02-23,1.8743,0.0467
2022-02-24,1.8364,-0.0202
2022-02-25,1.8671,0.0167
2022-02-28,1.8934,0.0141
2022-03-01,1.8879,-0.0029
2022-03-02,1.8741,-0.0073
2022-03-03,1.8271,-0.025099999999999997
2022-03-04,1.7962,-0.0169
2022-03-07,1.7412,-0.030600000000000002
2022-03-08,1.7034,-0.0217
2022-03-09,1.6832,-0.011899999999999999
2022-03-10,1.7049,0.0129
2022-03-11,1.7092,0.0025
2022-03-14,1.6532,-0.032799999999999996
2022-03-15,1.5903,-0.038
2022-03-16,1.6504,0.0378
2022-03-17,1.6862,0.0217
2022-03-18,1.6616,-0.0146
2022-03-21,1.6904,0.0173
2022-03-22,1.6673,-0.0137
2022-03-23,1.6789,0.006999999999999999
2022-03-24,1.656,-0.013600000000000001
2022-03-25,1.6295,-0.016
2022-03-28,1.6091,-0.0125
2022-03-29,1.5876,-0.0134
2022-03-30,1.6289,0.026000000000000002
2022-03-31,1.6002,-0.0176
2022-04-01,1.604,0.0024
2022-04-06,1.5629,-0.0256
2022-04-07,1.5231,-0.0255
2022-04-08,1.522,-0.0007000000000000001
2022-04-11,1.4578,-0.042199999999999994
2022-04-12,1.4748,0.011699999999999999
2022-04-13,1.4546,-0.0137
2022-04-14,1.4492,-0.0037
2022-04-15,1.4407,-0.0059
2022-04-18,1.4838,0.029900000000000003
2022-04-19,1.48,-0.0026
2022-04-20,1.4555,-0.0166
2022-04-21,1.4081,-0.0326
2022-04-22,1.3867,-0.0152
2022-04-25,1.2775,-0.0787
2022-04-26,1.2502,-0.021400000000000002
2022-04-27,1.3424,0.0737
