date,nav,daily_return
2021-10-14,1.0,0.0
2021-10-15,1.0,0.0
2021-10-22,0.9987,0.0
2021-10-29,0.9988,0.0
2021-11-05,1.0008,0.0
2021-11-12,1.0035,0.0
2021-11-19,1.0057,0.0
2021-11-26,1.0065,0.0
2021-12-02,1.0034,0.0
2021-12-03,1.0045,0.0011
2021-12-06,1.0047,0.0002
2021-12-07,1.0045,-0.0002
2021-12-08,1.0083,0.0038
2021-12-09,1.0097,0.0014000000000000002
2021-12-10,1.01,0.0003
2021-12-13,1.013,0.003
2021-12-14,1.0119,-0.0011
2021-12-15,1.011,-0.0009
2021-12-16,1.0107,-0.0003
2021-12-17,1.0074,-0.0033
2021-12-20,1.0036,-0.0038
2021-12-21,1.0064,0.0028000000000000004
2021-12-22,1.0084,0.002
2021-12-23,1.0092,0.0008
2021-12-24,1.0089,-0.0003
2021-12-27,1.0093,0.0004
2021-12-28,1.0094,0.0001
2021-12-29,1.0078,-0.0016
2021-12-30,1.0121,0.0043
2021-12-31,1.0137,0.0016
2022-01-04,1.0113,-0.0024
2022-01-05,1.0062,-0.005
2022-01-06,1.0031,-0.0031
2022-01-07,1.0024,-0.0007000000000000001
2022-01-10,1.0029,0.0005
2022-01-11,1.0,-0.0029
2022-01-12,1.0001,0.0001
2022-01-13,0.9974,-0.0027
2022-01-14,0.9986,0.0012
2022-01-17,0.9986,0.0
2022-01-18,1.0004,0.0018
2022-01-19,0.9981,-0.0023
2022-01-20,0.9976,-0.0005
2022-01-21,0.9968,-0.0008
2022-01-24,0.9991,0.0023
2022-01-25,0.9935,-0.005600000000000001
2022-01-26,0.9941,0.0006
2022-01-27,0.9875,-0.0066
2022-01-28,0.9857,-0.0018
2022-02-07,0.9875,0.0018
2022-02-08,0.9831,-0.0045000000000000005
2022-02-09,0.9861,0.0031
2022-02-10,0.9849,-0.0012
2022-02-11,0.9812,-0.0038
2022-02-14,0.9797,-0.0015
2022-02-15,0.9841,0.0045000000000000005
2022-02-16,0.9848,0.0007000000000000001
2022-02-17,0.9876,0.0028000000000000004
2022-02-18,0.9855,-0.0021
2022-02-21,0.9831,-0.0024
2022-02-22,0.9804,-0.0027
2022-02-23,0.9858,0.0055000000000000005
2022-02-24,0.9813,-0.0046
2022-02-25,0.985,0.0038
2022-02-28,0.9855,0.0005
2022-03-01,0.9846,-0.0009
2022-03-02,0.982,-0.0026
2022-03-03,0.9784,-0.0037
2022-03-04,0.9758,-0.0027
2022-03-07,0.9703,-0.005600000000000001
2022-03-08,0.9668,-0.0036
2022-03-09,0.9655,-0.0013
2022-03-10,0.9689,0.0034999999999999996
2022-03-11,0.9681,-0.0008
2022-03-14,0.9623,-0.006
2022-03-15,0.9553,-0.0073
2022-03-16,0.9654,0.0106
2022-03-17,0.969,0.0037
2022-03-18,0.9673,-0.0018
2022-03-21,0.9693,0.0021
2022-03-22,0.9683,-0.001
2022-03-23,0.9721,0.0039000000000000003
2022-03-24,0.9701,-0.0021
2022-03-25,0.9653,-0.0049
2022-03-28,0.9628,-0.0026
2022-03-29,0.9654,0.0027
2022-03-30,0.9697,0.0045000000000000005
2022-03-31,0.9667,-0.0031
2022-04-01,0.9665,-0.0002
2022-04-06,0.9646,-0.002
2022-04-07,0.9619,-0.0028000000000000004
2022-04-08,0.9596,-0.0024
2022-04-11,0.9533,-0.0066
2022-04-12,0.9555,0.0023
2022-04-13,0.9533,-0.0023
2022-04-14,0.9558,0.0026
2022-04-15,0.9555,-0.0003
2022-04-18,0.9554,-0.0001
2022-04-19,0.9525,-0.003
2022-04-20,0.952,-0.0005
2022-04-21,0.9483,-0.0039000000000000003
2022-04-22,0.9486,0.0003
2022-04-25,0.9394,-0.0097
2022-04-26,0.9369,-0.0027
2022-04-27,0.9426,0.0060999999999999995
2022-04-28,0.9417,-0.001
2022-04-29,0.954,0.0131
2022-05-05,0.9545,0.0005
2022-05-06,0.9478,-0.006999999999999999
2022-05-09,0.947,-0.0008
2022-05-10,0.949,0.0021
2022-05-11,0.9539,0.0052
2022-05-12,0.9536,-0.0003
2022-05-13,0.9541,0.0005
2022-05-16,0.9523,-0.0019
2022-05-17,0.9548,0.0026
2022-05-18,0.9553,0.0005
2022-05-19,0.954,-0.0014000000000000002
2022-05-20,0.958,0.0042
2022-05-23,0.9569,-0.0011
2022-05-24,0.9495,-0.0077
2022-05-25,0.95,0.0005
2022-05-26,0.9503,0.0003
2022-05-27,0.9508,0.0005
2022-05-30,0.9541,0.0034999999999999996
2022-05-31,0.9591,0.0052
2022-06-01,0.9594,0.0003
2022-06-02,0.962,0.0027
2022-06-06,0.968,0.0062
2022-06-07,0.9669,-0.0011
2022-06-08,0.9692,0.0024
2022-06-09,0.9651,-0.0042
2022-06-10,0.9689,0.0039000000000000003
2022-06-13,0.9669,-0.0021
2022-06-14,0.9648,-0.0022
2022-06-15,0.9665,0.0018
2022-06-16,0.9678,0.0013
2022-06-17,0.9701,0.0024
2022-06-20,0.9732,0.0032
2022-06-21,0.9731,-0.0001
2022-06-22,0.9703,-0.0029
2022-06-23,0.9754,0.0053
2022-06-24,0.9774,0.0021
2022-06-27,0.9779,0.0005
2022-06-28,0.9774,-0.0005
2022-06-29,0.9702,-0.0074
2022-06-30,0.9754,0.0054
2022-07-01,0.9747,-0.0007000000000000001
2022-07-04,0.9777,0.0031
2022-07-05,0.9756,-0.0021
2022-07-06,0.9745,-0.0011
2022-07-07,0.9781,0.0037
2022-07-08,0.9736,-0.0046
2022-07-11,0.9696,-0.0040999999999999995
2022-07-12,0.9689,-0.0007000000000000001
2022-07-13,0.9718,0.003
2022-07-14,0.9749,0.0032
2022-07-15,0.9754,0.0005
2022-07-18,0.9778,0.0025
2022-07-19,0.975,-0.0029
2022-07-20,0.9773,0.0024
2022-07-21,0.9754,-0.0019
2022-07-22,0.9739,-0.0015
2022-07-25,0.9718,-0.0022
2022-07-26,0.974,0.0023
2022-07-27,0.9776,0.0037
2022-07-28,0.9762,-0.0014000000000000002
2022-07-29,0.9782,0.002
2022-08-01,0.9815,0.0034000000000000002
2022-08-02,0.9783,-0.0033
2022-08-03,0.9731,-0.0053
2022-08-04,0.9712,-0.002
2022-08-05,0.972,0.0008
2022-08-08,0.9736,0.0016
2022-08-09,0.9756,0.0021
2022-08-10,0.9738,-0.0018
2022-08-11,0.9768,0.0031
2022-08-12,0.9745,-0.0024
2022-08-15,0.9787,0.0043
2022-08-16,0.9793,0.0006
2022-08-17,0.982,0.0028000000000000004
2022-08-18,0.9809,-0.0011
2022-08-19,0.9789,-0.002
2022-08-22,0.9798,0.0009
2022-08-23,0.9794,-0.0004
2022-08-24,0.9678,-0.0118
2022-08-25,0.9638,-0.0040999999999999995
2022-08-26,0.9631,-0.0007000000000000001
2022-08-29,0.963,-0.0001
2022-08-30,0.9623,-0.0007000000000000001
2022-08-31,0.9552,-0.0074
2022-09-01,0.9538,-0.0015
2022-09-02,0.9546,0.0008
2022-09-05,0.9567,0.0022
2022-09-06,0.9611,0.0046
2022-09-07,0.9639,0.0029
2022-09-08,0.9609,-0.0031
2022-09-09,0.9618,0.0009
2022-09-13,0.9647,0.003
2022-09-14,0.9602,-0.004699999999999999
2022-09-15,0.9526,-0.0079
2022-09-16,0.9469,-0.006
2022-09-19,0.9467,-0.0002
2022-09-20,0.9509,0.0044
2022-09-21,0.949,-0.002
2022-09-22,0.9488,-0.0002
2022-09-23,0.9467,-0.0022
2022-09-26,0.9474,0.0007000000000000001
2022-09-27,0.9504,0.0032
2022-09-28,0.9445,-0.0062
2022-09-29,0.9451,0.0006
2022-09-30,0.9429,-0.0023
2022-10-10,0.9394,-0.0037
2022-10-11,0.9413,0.002
2022-10-12,0.9457,0.004699999999999999
2022-10-13,0.946,0.0003
2022-10-14,0.9509,0.0052
2022-10-17,0.9505,-0.0004
2022-10-18,0.9502,-0.0003
2022-10-19,0.9491,-0.0012
2022-10-20,0.9481,-0.0011
2022-10-21,0.9486,0.0005
2022-10-24,0.9447,-0.0040999999999999995
2022-10-25,0.9431,-0.0017000000000000001
2022-10-26,0.9464,0.0034999999999999996
2022-10-27,0.9466,0.0002
2022-10-28,0.9417,-0.0052
2022-10-31,0.9411,-0.0006
