date,nav,daily_return
2022-02-23,2.7872,0.0
2022-02-24,2.7177,-0.024900000000000002
2022-02-25,2.7339,0.006
2022-02-28,2.7342,0.0001
2022-03-01,2.743,0.0032
2022-03-02,2.7092,-0.0123
2022-03-03,2.6828,-0.0097
2022-03-04,2.655,-0.0104
2022-03-07,2.5868,-0.025699999999999997
2022-03-08,2.5184,-0.0264
2022-03-09,2.4939,-0.0097
2022-03-10,2.5337,0.016
2022-03-11,2.5398,0.0024
2022-03-14,2.4564,-0.032799999999999996
2022-03-15,2.3506,-0.0431
2022-03-16,2.4222,0.0305
2022-03-17,2.4938,0.0296
2022-03-18,2.4965,0.0011
2022-03-21,2.5014,0.002
2022-03-22,2.5142,0.0051
2022-03-23,2.5233,0.0036
2022-03-24,2.4924,-0.012199999999999999
2022-03-25,2.4588,-0.013500000000000002
2022-03-28,2.4288,-0.012199999999999999
2022-03-29,2.3961,-0.013500000000000002
2022-03-30,2.4716,0.0315
2022-03-31,2.4562,-0.0062
2022-04-01,2.4735,0.006999999999999999
2022-04-06,2.4956,0.0089
2022-04-07,2.4668,-0.0115
2022-04-08,2.4581,-0.0034999999999999996
2022-04-11,2.3825,-0.0308
2022-04-12,2.4159,0.013999999999999999
2022-04-13,2.3723,-0.018000000000000002
2022-04-14,2.4119,0.0167
2022-04-15,2.4101,-0.0007000000000000001
2022-04-18,2.4256,0.0064
2022-04-19,2.3988,-0.011000000000000001
2022-04-20,2.3792,-0.008199999999999999
2022-04-21,2.3444,-0.0146
2022-04-22,2.3532,0.0038
2022-04-25,2.2336,-0.0508
2022-04-26,2.2039,-0.013300000000000001
2022-04-27,2.2919,0.039900000000000005
2022-04-28,2.3034,0.005
2022-04-29,2.3938,0.0392
2022-05-05,2.3821,-0.0049
2022-05-06,2.3273,-0.023
2022-05-09,2.3083,-0.008199999999999999
2022-05-10,2.3391,0.013300000000000001
2022-05-11,2.3822,0.0184
2022-05-12,2.3737,-0.0036
2022-05-13,2.3828,0.0038
2022-05-16,2.3918,0.0038
2022-05-17,2.4063,0.0060999999999999995
2022-05-18,2.4028,-0.0015
2022-05-19,2.4043,0.0006
2022-05-20,2.439,0.0144
2022-05-23,2.438,-0.0004
