date,nav,daily_return
2025-09-09,1.0,0.0
2025-09-12,1.0011,0.0
2025-09-19,0.9972,0.0
2025-09-26,0.9989,0.0
2025-09-30,1.0047,0.0
2025-10-10,0.994,0.0
2025-10-13,0.9948,0.0008
2025-10-14,0.985,-0.009899999999999999
2025-10-15,0.9912,0.0063
2025-10-16,0.9926,0.0014000000000000002
2025-10-17,0.9783,-0.0144
2025-10-20,0.98,0.0017000000000000001
2025-10-21,0.9972,0.0176
2025-10-22,0.9956,-0.0016
2025-10-23,0.9876,-0.008
2025-10-24,1.0105,0.0232
2025-10-27,1.0313,0.0206
2025-10-28,1.0303,-0.001
2025-10-29,1.0425,0.0118
2025-10-30,1.0293,-0.0127
2025-10-31,1.0064,-0.0222
2025-11-03,1.0069,0.0005
2025-11-04,1.0001,-0.0068000000000000005
2025-11-05,1.007,0.0069
2025-11-06,1.017,0.009899999999999999
2025-11-07,1.0072,-0.0096
2025-11-10,0.9984,-0.0087
2025-11-11,0.9843,-0.0141
2025-11-12,0.9865,0.0022
2025-11-13,0.984,-0.0025
2025-11-14,0.9716,-0.0126
2025-11-17,0.9753,0.0038
2025-11-18,0.974,-0.0013
2025-11-19,0.9736,-0.0004
2025-11-20,0.9751,0.0015
2025-11-21,0.952,-0.023700000000000002
2025-11-24,0.9465,-0.0058
2025-11-25,0.9583,0.0125
2025-11-26,0.9787,0.0213
2025-11-27,0.9725,-0.0063
2025-11-28,0.9738,0.0013
2025-12-01,0.9754,0.0016
2025-12-02,0.9756,0.0002
2025-12-03,0.9775,0.0019
2025-12-04,0.9816,0.0042
2025-12-05,0.9934,0.012
2025-12-08,1.0266,0.0334
2025-12-09,1.0398,0.0129
2025-12-10,1.0469,0.0068000000000000005
2025-12-11,1.0286,-0.0175
2025-12-12,1.0436,0.0146
2025-12-15,1.021,-0.0217
2025-12-16,0.9989,-0.0216
2025-12-17,1.0386,0.0397
2025-12-18,1.0251,-0.013000000000000001
2025-12-19,1.0213,-0.0037
2025-12-22,1.0587,0.0366
2025-12-23,1.0587,0.0
2025-12-24,1.0638,0.0048
2025-12-25,1.0608,-0.0028000000000000004
2025-12-26,1.0507,-0.0095
2025-12-29,1.0568,0.0058
2025-12-30,1.057,0.0002
2025-12-31,1.0369,-0.019
2026-01-05,1.0482,0.0109
2026-01-06,1.0383,-0.009399999999999999
2026-01-07,1.0563,0.0173
2026-01-08,1.0445,-0.011200000000000002
2026-01-09,1.076,0.0302
2026-01-12,1.0951,0.0178
2026-01-13,1.07,-0.0229
2026-01-14,1.0931,0.0216
2026-01-15,1.1088,0.0144
2026-01-16,1.1152,0.0058
2026-01-19,1.1038,-0.0102
2026-01-20,1.0626,-0.0373
2026-01-21,1.1017,0.0368
2026-01-22,1.1271,0.0231
2026-01-23,1.1126,-0.0129
2026-01-26,1.1175,0.0044
2026-01-27,1.1578,0.0361
2026-01-28,1.1645,0.0058
2026-01-29,1.1392,-0.0217
2026-01-30,1.1866,0.0416
2026-02-02,1.1544,-0.0271
2026-02-03,1.2176,0.0547
2026-02-04,1.1998,-0.0146
2026-02-05,1.1496,-0.0418
2026-02-06,1.1381,-0.01
2026-02-09,1.2239,0.0754
2026-02-10,1.2126,-0.0092
2026-02-11,1.1996,-0.010700000000000001
2026-02-12,1.2703,0.058899999999999994
2026-02-13,1.2294,-0.0322
2026-02-24,1.2614,0.026000000000000002
2026-02-25,1.2494,-0.0095
2026-02-26,1.2838,0.0275
2026-02-27,1.277,-0.0053
2026-03-02,1.3093,0.0253
2026-03-03,1.2699,-0.0301
2026-03-04,1.2567,-0.0104
2026-03-05,1.2725,0.0126
2026-03-06,1.2614,-0.0087
2026-03-09,1.234,-0.0217
2026-03-10,1.3061,0.0584
2026-03-11,1.3131,0.0054
2026-03-12,1.2856,-0.0209
2026-03-13,1.2784,-0.005600000000000001
2026-03-16,1.3075,0.022799999999999997
2026-03-17,1.2383,-0.0529
2026-03-18,1.2868,0.0392
2026-03-19,1.285,-0.0014000000000000002
2026-03-20,1.3232,0.0297
2026-03-23,1.2731,-0.0379
2026-03-24,1.2824,0.0073
2026-03-25,1.3077,0.0197
2026-03-26,1.2967,-0.0084
2026-03-27,1.3013,0.0034999999999999996
2026-03-30,1.3038,0.0019
2026-03-31,1.2549,-0.0375
2026-04-01,1.2874,0.0259
2026-04-02,1.261,-0.020499999999999997
2026-04-03,1.2848,0.0189
2026-04-07,1.2874,0.002
2026-04-08,1.3632,0.058899999999999994
2026-04-09,1.3772,0.0103
2026-04-10,1.4155,0.0278
2026-04-13,1.4209,0.0038
2026-04-14,1.4395,0.0131
2026-04-15,1.4331,-0.0044
2026-04-16,1.4701,0.0258
2026-04-17,1.5411,0.0483
2026-04-20,1.5367,-0.0029
2026-04-21,1.5544,0.0115
2026-04-22,1.6312,0.049400000000000006
2026-04-23,1.605,-0.0161
2026-04-24,1.5816,-0.0146
2026-04-27,1.5946,0.008199999999999999
