date,nav,daily_return
2023-07-19,1.0,0.0
2023-07-21,0.9999,0.0
2023-07-28,0.9995,0.0
2023-08-04,0.9992,0.0
2023-08-11,0.9829,0.0
2023-08-18,0.9693,0.0
2023-08-25,0.9435,0.0
2023-09-01,0.9931,0.0
2023-09-08,0.9108,0.0
2023-09-15,0.8816,0.0
2023-09-22,0.9009,0.0
2023-09-28,0.9185,0.0
2023-10-13,0.8996,0.0
2023-10-17,0.882,0.0
2023-10-18,0.8563,-0.0291
2023-10-19,0.853,-0.0039000000000000003
2023-10-20,0.8318,-0.024900000000000002
2023-10-23,0.8081,-0.0285
2023-10-24,0.8308,0.0281
2023-10-25,0.8299,-0.0011
2023-10-26,0.8288,-0.0013
2023-10-27,0.8348,0.0072
2023-10-30,0.8495,0.0176
2023-10-31,0.8452,-0.0051
2023-11-01,0.8474,0.0026
2023-11-02,0.8551,0.0091
2023-11-03,0.8734,0.021400000000000002
2023-11-06,0.9326,0.0678
2023-11-07,0.9566,0.025699999999999997
2023-11-08,0.9735,0.0177
2023-11-09,0.9676,-0.0060999999999999995
2023-11-10,0.9515,-0.0166
2023-11-13,0.9577,0.006500000000000001
2023-11-14,0.9606,0.003
2023-11-15,0.9471,-0.0141
2023-11-16,0.9366,-0.0111
2023-11-17,0.9543,0.0189
2023-11-20,0.9633,0.009399999999999999
2023-11-21,0.9599,-0.0034999999999999996
2023-11-22,0.9486,-0.0118
2023-11-23,0.9495,0.0009
2023-11-24,0.9285,-0.022099999999999998
2023-11-27,0.9231,-0.0058
2023-11-28,0.9229,-0.0002
2023-11-29,0.9183,-0.005
2023-11-30,0.9264,0.0088
2023-12-01,0.972,0.0492
2023-12-04,0.9756,0.0037
2023-12-05,0.9473,-0.028999999999999998
2023-12-06,0.9633,0.0169
2023-12-07,0.9855,0.023
2023-12-08,1.0019,0.0166
2023-12-11,1.0173,0.0154
2023-12-12,1.0177,0.0004
2023-12-13,1.0032,-0.014199999999999999
2023-12-14,1.0054,0.0022
2023-12-15,0.9936,-0.011699999999999999
2023-12-18,0.9771,-0.0166
2023-12-19,0.9888,0.012
2023-12-20,0.9565,-0.0327
2023-12-21,0.9674,0.011399999999999999
2023-12-22,0.9125,-0.056799999999999996
2023-12-25,0.9082,-0.004699999999999999
2023-12-26,0.8919,-0.0179
2023-12-27,0.8912,-0.0008
2023-12-28,0.9009,0.0109
2023-12-29,0.9255,0.0273
2023-12-31,0.9254,-0.0001
2024-01-02,0.9108,-0.0158
2024-01-03,0.901,-0.0108
2024-01-04,0.8916,-0.0104
2024-01-05,0.8654,-0.0294
2024-01-08,0.8489,-0.0191
2024-01-09,0.854,0.006
2024-01-10,0.8382,-0.018500000000000003
2024-01-11,0.8579,0.0235
2024-01-12,0.8435,-0.0168
2024-01-15,0.8527,0.0109
2024-01-16,0.8532,0.0006
2024-01-17,0.8407,-0.0147
2024-01-18,0.8666,0.0308
2024-01-19,0.8808,0.016399999999999998
2024-01-22,0.8516,-0.0332
2024-01-23,0.88,0.0333
2024-01-24,0.874,-0.0068000000000000005
2024-01-25,0.8947,0.023700000000000002
2024-01-26,0.8686,-0.0292
2024-01-29,0.8257,-0.049400000000000006
2024-01-30,0.8055,-0.0245
2024-01-31,0.7879,-0.0218
2024-02-01,0.8174,0.0374
2024-02-02,0.8124,-0.0060999999999999995
2024-02-05,0.8087,-0.0046
2024-02-06,0.8651,0.0697
2024-02-07,0.8725,0.0086
2024-02-08,0.8906,0.0207
2024-02-19,0.9642,0.08259999999999999
2024-02-20,0.9525,-0.0121
2024-02-21,0.9271,-0.026699999999999998
2024-02-22,0.9395,0.0134
2024-02-23,0.94,0.0005
2024-02-26,0.9355,-0.0048
2024-02-27,0.9931,0.0616
2024-02-28,0.9474,-0.046
2024-02-29,0.9807,0.0351
2024-03-01,1.0047,0.0245
2024-03-04,1.0359,0.0311
2024-03-05,1.0289,-0.0068000000000000005
2024-03-06,1.0239,-0.0049
2024-03-07,1.0075,-0.016
2024-03-08,1.0572,0.0493
2024-03-11,1.0535,-0.0034999999999999996
2024-03-12,1.0371,-0.015600000000000001
2024-03-13,1.0447,0.0073
2024-03-14,1.0426,-0.002
2024-03-15,1.0708,0.027000000000000003
2024-03-18,1.0994,0.026699999999999998
2024-03-19,1.09,-0.0086
2024-03-20,1.0843,-0.0052
2024-03-21,1.0799,-0.0040999999999999995
2024-03-22,1.0889,0.0083
2024-03-25,1.0553,-0.030899999999999997
2024-03-26,1.0464,-0.0084
2024-03-27,1.0204,-0.0248
2024-03-28,1.0357,0.015
2024-03-29,1.0297,-0.0058
2024-04-01,1.0582,0.0277
2024-04-02,1.0482,-0.0095
2024-04-03,1.0293,-0.018000000000000002
2024-04-08,1.0384,0.0088
2024-04-09,1.0304,-0.0077
2024-04-10,1.0097,-0.020099999999999996
2024-04-11,1.0145,0.0048
2024-04-12,1.0427,0.0278
2024-04-15,1.0478,0.0049
2024-04-16,1.0323,-0.0148
2024-04-17,1.059,0.0259
2024-04-18,1.0571,-0.0018
2024-04-19,1.0383,-0.0178
2024-04-22,1.0133,-0.0241
2024-04-23,1.0203,0.0069
2024-04-24,1.0473,0.0265
2024-04-25,1.0352,-0.0116
2024-04-26,1.0708,0.0344
2024-04-29,1.0882,0.016200000000000003
2024-04-30,1.0835,-0.0043
2024-05-06,1.0883,0.0044
2024-05-07,1.0767,-0.010700000000000001
2024-05-08,1.0693,-0.0069
2024-05-09,1.0765,0.0067
2024-05-10,1.0823,0.0054
2024-05-13,1.0949,0.0116
2024-05-14,1.1046,0.0089
2024-05-15,1.1057,0.001
2024-05-16,1.1043,-0.0013
2024-05-17,1.0927,-0.0105
2024-05-20,1.1099,0.015700000000000002
2024-05-21,1.1071,-0.0025
2024-05-22,1.0783,-0.026000000000000002
2024-05-23,1.0736,-0.0044
2024-05-24,1.0726,-0.0009
2024-05-27,1.1018,0.027200000000000002
2024-05-28,1.0938,-0.0073
2024-05-29,1.0845,-0.0085
2024-05-30,1.0769,-0.006999999999999999
2024-05-31,1.0669,-0.009300000000000001
2024-06-03,1.0966,0.0278
2024-06-04,1.1067,0.0092
2024-06-05,1.0823,-0.022000000000000002
2024-06-06,1.0872,0.0045000000000000005
2024-06-07,1.0648,-0.0206
