date,nav,daily_return
2016-12-21,1.0,0.0
2016-12-23,1.0,0.0
2016-12-30,1.001,0.0
2016-12-31,1.001,0.0
2017-01-06,1.002,0.0
2017-01-13,1.002,0.0
2017-01-20,1.001,0.0
2017-01-26,1.003,0.0
2017-02-03,1.002,-0.000997
2017-02-10,1.003,0.0
2017-02-14,1.004,0.0
2017-02-15,1.004,0.0
2017-02-16,1.005,0.000996
2017-02-17,1.004,-0.000995
2017-02-20,1.006,0.001992
2017-02-21,1.006,0.0
2017-02-22,1.006,0.0
2017-02-23,1.005,-0.000994
2017-02-24,1.006,0.000995
2017-02-27,1.004,-0.001988
2017-02-28,1.004,0.0
2017-03-01,1.004,0.0
2017-03-02,1.003,-0.000996
2017-03-03,1.003,0.0
2017-03-06,1.004,0.000997
2017-03-07,1.004,0.0
2017-03-08,1.003,-0.000996
2017-03-09,1.002,-0.000997
2017-03-10,1.002,0.0
2017-03-13,1.003,0.000998
2017-03-14,1.002,-0.000997
2017-03-15,1.003,0.000998
2017-03-16,1.004,0.000997
2017-03-17,1.003,-0.000996
2017-03-20,1.004,0.000997
2017-03-21,1.004,0.0
2017-03-22,1.003,-0.000996
2017-03-23,1.004,0.000997
2017-03-24,1.006,0.001992
2017-03-27,1.007,0.000994
2017-03-28,1.007,0.0
2017-03-29,1.007,0.0
2017-03-30,1.005,-0.001986
2017-03-31,1.006,0.000995
2017-04-05,1.01,0.003976
2017-04-06,1.01,0.0
2017-04-07,1.01,0.0
2017-04-10,1.01,0.0
2017-04-11,1.009,-0.00099
2017-04-12,1.008,-0.000991
2017-04-13,1.009,0.000992
2017-04-14,1.007,-0.001982
2017-04-17,1.008,0.000993
2017-04-18,1.008,0.0
2017-04-19,1.008,0.0
2017-04-20,1.009,0.000992
2017-04-21,1.009,0.0
2017-04-24,1.006,-0.002973
2017-04-25,1.008,0.001988
2017-04-26,1.009,0.000992
2017-04-27,1.009,0.0
2017-04-28,1.008,-0.000991
2017-05-02,1.008,0.0
2017-05-03,1.008,0.0
2017-05-04,1.008,0.0
2017-05-05,1.007,-0.000992
2017-05-08,1.005,-0.001986
2017-05-09,1.005,0.0
2017-05-10,1.005,0.0
2017-05-11,1.005,0.0
2017-05-12,1.007,0.00199
2017-05-15,1.007,0.0
2017-05-16,1.009,0.001986
2017-05-17,1.007,-0.001982
2017-05-18,1.007,0.0
2017-05-19,1.008,0.000993
2017-05-22,1.01,0.001984
2017-05-23,1.012,0.00198
2017-05-24,1.011,-0.000988
2017-05-25,1.012,0.000989
2017-05-26,1.012,0.0
2017-05-31,1.013,0.000988
2017-06-01,1.014,0.000987
2017-06-02,1.012,-0.001972
2017-06-05,1.012,0.0
2017-06-06,1.013,0.000988
2017-06-07,1.015,0.001974
2017-06-08,1.019,0.003941
2017-06-09,1.021,0.001963
2017-06-12,1.022,0.000979
2017-06-13,1.022,0.0
2017-06-14,1.02,-0.001957
2017-06-15,1.018,-0.001961
2017-06-16,1.019,0.000982
2017-06-19,1.022,0.002944
2017-06-20,1.022,0.0
2017-06-21,1.026,0.003914
2017-06-22,1.027,0.0009750000000000001
2017-06-23,1.029,0.0019470000000000002
2017-06-26,1.031,0.001944
2017-06-27,1.033,0.00194
2017-06-28,1.031,-0.001936
2017-06-29,1.033,0.00194
2017-06-30,1.033,0.0
2017-07-03,1.031,-0.001936
2017-07-04,1.029,-0.00194
2017-07-05,1.033,0.003887
2017-07-06,1.034,0.000968
2017-07-07,1.032,-0.001934
2017-07-10,1.032,0.0
2017-07-11,1.035,0.0029070000000000003
2017-07-12,1.034,-0.0009660000000000001
2017-07-13,1.034,0.0
2017-07-14,1.036,0.001934
2017-07-17,1.036,0.0
2017-07-18,1.035,-0.000965
2017-07-19,1.038,0.002899
2017-07-20,1.04,0.0019270000000000001
2017-07-21,1.038,-0.001923
