date,nav,daily_return
2025-10-13,3.394,0.0
2025-10-14,3.268,-0.0371
2025-10-15,3.341,0.0223
2025-10-16,3.326,-0.0045000000000000005
2025-10-17,3.211,-0.0346
2025-10-20,3.258,0.0146
2025-10-21,3.367,0.0335
2025-10-22,3.349,-0.0053
2025-10-23,3.327,-0.0066
2025-10-24,3.45,0.037000000000000005
2025-10-27,3.507,0.0165
2025-10-28,3.517,0.0029
2025-10-29,3.581,0.0182
2025-10-30,3.511,-0.0195
2025-10-31,3.461,-0.014199999999999999
2025-11-03,3.468,0.002
2025-11-04,3.42,-0.0138
2025-11-05,3.42,0.0
2025-11-06,3.477,0.0167
2025-11-07,3.437,-0.0115
2025-11-10,3.406,-0.009000000000000001
2025-11-11,3.352,-0.0159
2025-11-12,3.34,-0.0036
2025-11-13,3.392,0.015600000000000001
2025-11-14,3.299,-0.0274
2025-11-17,3.291,-0.0024
2025-11-18,3.285,-0.0018
2025-11-19,3.277,-0.0024
2025-11-20,3.248,-0.0088
2025-11-21,3.126,-0.037599999999999995
2025-11-24,3.176,0.016
2025-11-25,3.251,0.0236
2025-11-26,3.316,0.02
2025-11-27,3.3,-0.0048
2025-11-28,3.326,0.0079
2025-12-01,3.366,0.012
2025-12-02,3.342,-0.0070999999999999995
2025-12-03,3.306,-0.0108
2025-12-04,3.331,0.0076
2025-12-05,3.379,0.0144
2025-12-08,3.456,0.022799999999999997
2025-12-09,3.476,0.0058
2025-12-10,3.477,0.0003
2025-12-11,3.419,-0.0167
2025-12-12,3.474,0.0161
2025-12-15,3.415,-0.017
2025-12-16,3.349,-0.019299999999999998
2025-12-17,3.461,0.0334
2025-12-18,3.385,-0.022000000000000002
2025-12-19,3.394,0.0027
2025-12-22,3.48,0.0253
2025-12-23,3.5,0.005699999999999999
2025-12-24,3.538,0.0109
2025-12-25,3.55,0.0034000000000000002
2025-12-26,3.549,-0.0003
2025-12-29,3.535,-0.0039000000000000003
2025-12-30,3.546,0.0031
2025-12-31,3.505,-0.0116
2026-01-05,3.597,0.0262
2026-01-06,3.606,0.0025
2026-01-07,3.639,0.0092
2026-01-08,3.617,-0.006
2026-01-09,3.653,0.01
2026-01-12,3.698,0.0123
2026-01-13,3.633,-0.0176
2026-01-14,3.676,0.0118
2026-01-15,3.706,0.008199999999999999
2026-01-16,3.732,0.006999999999999999
2026-01-19,3.739,0.0019
2026-01-20,3.668,-0.019
2026-01-21,3.748,0.0218
2026-01-22,3.769,0.005600000000000001
2026-01-23,3.728,-0.0109
2026-01-26,3.691,-0.009899999999999999
2026-01-27,3.726,0.0095
2026-01-28,3.728,0.0005
2026-01-29,3.652,-0.0204
2026-01-30,3.699,0.0129
2026-02-02,3.6,-0.0268
2026-02-03,3.643,0.011899999999999999
2026-02-04,3.596,-0.0129
2026-02-05,3.538,-0.0161
2026-02-06,3.507,-0.0088
2026-02-09,3.632,0.0356
2026-02-10,3.657,0.0069
2026-02-11,3.615,-0.0115
2026-02-12,3.695,0.022099999999999998
2026-02-13,3.65,-0.012199999999999999
2026-02-24,3.685,0.0096
2026-02-25,3.716,0.0084
2026-02-26,3.759,0.0116
2026-02-27,3.699,-0.016
2026-03-02,3.716,0.0046
2026-03-03,3.597,-0.032
2026-03-04,3.563,-0.0095
2026-03-05,3.636,0.020499999999999997
2026-03-06,3.627,-0.0025
2026-03-09,3.562,-0.0179
2026-03-10,3.68,0.0331
2026-03-11,3.711,0.0084
2026-03-12,3.674,-0.01
2026-03-13,3.645,-0.0079
2026-03-16,3.68,0.0096
2026-03-17,3.568,-0.0304
2026-03-18,3.667,0.0277
2026-03-19,3.602,-0.0177
2026-03-20,3.636,0.009399999999999999
2026-03-23,3.499,-0.0377
2026-03-24,3.558,0.0169
2026-03-25,3.638,0.0225
2026-03-26,3.576,-0.017
2026-03-27,3.596,0.005600000000000001
2026-03-30,3.612,0.0044
2026-03-31,3.521,-0.0252
2026-04-01,3.599,0.0222
2026-04-02,3.519,-0.0222
2026-04-03,3.538,0.0054
2026-04-07,3.583,0.0127
2026-04-08,3.8,0.060599999999999994
2026-04-09,3.828,0.0074
2026-04-10,3.941,0.029500000000000002
2026-04-13,3.988,0.011899999999999999
2026-04-14,4.067,0.019799999999999998
2026-04-15,4.047,-0.0049
2026-04-16,4.163,0.0287
2026-04-17,4.251,0.021099999999999997
2026-04-20,4.246,-0.0012
2026-04-21,4.283,0.0087
2026-04-22,4.378,0.0222
2026-04-23,4.356,-0.005
2026-04-24,4.329,-0.0062
2026-04-27,4.348,0.0044
